Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.01636249496215863,500,-1,0,5113.0,0,7,1193,1.734673184156442e-12,18724528.0,527,69843401.0,1e-14,568,1.512181822355572e-14
0.0002,0.01636249496215863,500,-1,0,4291.0,0,9,1216,1.8150297125691922e-12,18724528.0,493,50986122.0,1e-14,573,1.1039022409691004e-14
0.0002,0.01636249496215863,500,-1,6,8805.0,1,8,1,2.915418222882778e-12,18724528.0,506,888842616.0,1e-14,551,1.924436135133474e-13
0.0002,0.01636249496215863,500,-1,0,2183.0,0,5,1061,7.844782798037215e-13,18724528.0,573,41209137.0,1e-14,-1,8.922204101481316e-15
0.0002,0.01636249496215863,500,-1,6,5914.0,1,6,1,2.6533613805587308e-12,18724528.0,617,842029080.0,1e-14,648,1.8230799910084356e-13
0.0002,0.01636249496215863,500,-1,0,7646.0,0,8,1396,2.9973547969620264e-12,18724528.0,542,93314077.0,1e-14,594,2.020346217236588e-14
0.0002,0.01636249496215863,500,660,6,10755.0,1,10,1,4.523704221712921e-12,18724528.0,502,522184092.0,1e-14,542,1.1305825325511418e-13
0.0002,0.01636249496215863,500,681,6,8724.0,1,7,1,3.6253134720217657e-12,18724528.0,484,499189125.0,1e-14,520,1.0807960522177077e-13
0.0002,0.01636249496215863,500,-1,6,5934.0,1,8,1,2.516090886406919e-12,18724528.0,480,664685456.0,1e-14,961,1.4391127146676667e-13
0.0002,0.01636249496215863,500,791,6,9371.0,1,8,1,3.92327659481585e-12,18724528.0,510,887089731.0,1e-14,548,1.9206409579288573e-13
0.0002,0.01636249496215863,500,900,6,7320.0,1,11,1,3.0301525945853378e-12,18724528.0,480,688936031.0,1e-14,529,1.4916177161017602e-13
0.0002,0.01636249496215863,500,819,6,7107.0,1,10,1,3.102097497251832e-12,18724528.0,522,611621342.0,1e-14,560,1.3242234231078159e-13
0.0002,0.01636249496215863,500,647,6,9100.0,1,10,1,3.8576996229222736e-12,18724528.0,471,550049574.0,1e-14,518,1.1909141812799556e-13
0.0002,0.01636249496215863,500,-1,0,4164.0,0,5,1321,1.5413955015966095e-12,18724528.0,469,55690363.0,1e-14,511,1.2057539209607408e-14
0.0002,0.01636249496215863,500,-1,0,5179.0,0,9,1302,2.005353820015026e-12,18724528.0,483,71181310.0,1e-14,540,1.541148935079162e-14
0.0002,0.01636249496215863,500,-1,6,6422.0,0,7,1,2.7079862015673117e-12,18724528.0,473,281608850.0,1e-14,522,6.097122675690679e-14
0.0002,0.01636249496215863,500,794,6,10165.0,1,8,1,4.161341610693661e-12,18724528.0,488,739082960.0,1e-14,528,1.6001910006140013e-13
0.0002,0.01636249496215863,500,854,0,7872.0,0,8,1412,3.0909181155214663e-12,18724528.0,506,81526037.0,1e-14,561,1.765122967022864e-14
0.0002,0.01636249496215863,500,-1,0,1628.0,0,7,1021,5.914368108865955e-13,18724528.0,564,22797566.0,1e-14,-1,4.935908676490629e-15
0.0002,0.01636249496215863,500,-1,0,6464.0,0,7,1363,2.4831504483100262e-12,18724528.0,522,59352858.0,1e-14,652,1.2850507232952683e-14
0.0002,0.01636249496215863,500,-1,6,5886.0,0,5,1,2.474792333742854e-12,18724528.0,534,251094968.0,1e-14,578,5.4364655909948305e-14
0.0002,0.01636249496215863,500,645,6,9256.0,0,7,1,3.828330702739124e-12,18724528.0,480,427266856.0,1e-14,516,9.250769058886692e-14
0.0002,0.01636249496215863,500,711,6,9008.0,1,7,1,3.811272497694051e-12,18724528.0,470,713640773.0,1e-14,512,1.545106036033921e-13
0.0002,0.01636249496215863,500,880,6,7293.0,1,5,1,3.1205009925177948e-12,18724528.0,526,611602452.0,1e-14,592,1.3241825243053321e-13
0.0002,0.01636249496215863,500,628,6,9273.0,1,12,1,3.948370377464852e-12,18724528.0,459,548133259.0,1e-14,496,1.1867651612330833e-13
0.0002,0.01636249496215863,500,-1,0,416.0,0,5,783,1.0835284256496713e-13,18724528.0,-1,4330108.0,1e-14,-1,9.37513138347378e-16
0.0002,0.01636249496215863,500,-1,0,1973.0,0,5,1060,7.426196869981593e-13,18724528.0,562,37970758.0,1e-14,-1,8.221061575833401e-15
0.0002,0.01636249496215863,500,686,6,8416.0,0,12,1,3.5491592358075672e-12,18724528.0,474,451665094.0,1e-14,513,9.779016129803306e-14
0.0002,0.01636249496215863,500,-1,0,131.0,0,4,644,1.202817412923506e-14,18724528.0,-1,527982.0,1e-14,-1,1.1431356026476137e-16
0.0002,0.01636249496215863,500,-1,0,2827.0,0,7,1089,1.11160367817136e-12,18724528.0,544,53900482.0,1e-14,591,1.1670011472752265e-14
0.0002,0.01636249496215863,500,-1,0,4205.0,0,2,1239,1.7182460337770653e-12,18724528.0,554,49342824.0,1e-14,657,1.0683231407429638e-14
0.0002,0.01636249496215863,500,-1,0,634.0,0,3,918,1.695055015193444e-13,18724528.0,-1,6541692.0,1e-14,-1,1.4163439334589195e-15
0.0002,0.01636249496215863,500,727,0,8499.0,0,7,1421,3.331428688825815e-12,18724528.0,443,76651992.0,1e-14,489,1.659594854920435e-14
0.0002,0.01636249496215863,500,-1,6,29.0,0,11,1,1.1657258797446742e-14,18724528.0,-1,15681450.0,1e-14,-1,4.330924886406391e-15
0.0002,0.01636249496215863,500,728,6,8783.0,1,11,1,3.6661283299860174e-12,18724528.0,514,597450743.0,1e-14,562,1.2935426115882164e-13
0.0002,0.01636249496215863,500,-1,0,4455.0,0,9,1340,2.2823447786588405e-12,18724528.0,523,60014689.0,1e-14,578,1.2993800485191557e-14
0.0002,0.01636249496215863,500,-1,0,3153.0,0,6,1381,2.348415911794897e-12,18724528.0,521,86599705.0,1e-14,560,1.874973123407247e-14
