Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime
0.0002,0.024838681488461217,500,-1,0,129.0,0,10,1092,1.4117343796889275e-15,18724528.0,-1
0.0002,0.024838681488461217,500,850,0,247.0,0,14,1271,2.5398497472985095e-13,18724528.0,-1
