711.528	25
311.16	11
260.302	9
422.46	15
303.968	12
129.391	5
459.111	16
498.271	17
355.252	14
308.177	11
458.69	15
514.052	18
596.874	23
750.472	23
619.721	20
979.12	33
686.213	20
214.71	7
438.897	15
326.44	12
1189.82	41
488.278	19
630.556	22
3452.46	114
235.292	9
956.277	36
546.151	17
502.441	19
745.04	24
2145.59	68
834.97	24
347.694	12
755.391	25
461.323	17
265.879	9
293.003	11
842.343	29
353.769	13
1781.43	58
441.254	17
1667.16	52
610.519	22
446.851	15
554.613	20
286.963	11
439.337	18
472.691	16
332.529	12
381.958	11
101.325	4
1889.49	62
728.089	23
740.996	27
155.097	6
1278.29	42
1177.11	38
319.87	12
1139.75	40
355.784	12
582.359	19
731.895	28
532.983	19
541.354	19
346.318	10
559.633	22
322.174	12
751.619	29
394.805	12
146.496	6
1562.75	49
945.599	34
599.273	18
463.313	16
429.7	14
789.832	25
502.489	15
348.348	10
489.404	16
392.234	16
855.543	28
725.916	24
410.421	18
166.53	6
536.223	22
455.593	18
838.905	26
163.265	7
198.151	9
633.051	22
576.604	21
497.969	18
200.097	7
407.693	13
652.601	20
209.717	7
708.318	25
285.59	11
610.629	18
324.467	13
694.72	22
363.651	12
553.809	19
382.287	13
1181.9	41
466.438	15
644.504	25
247.193	9
428.874	16
2455.12	87
686.772	22
278.191	9
770.391	24
429.455	15
670.598	21
418.4	13
463.236	17
1853.18	59
822.023	29
318.39	10
598.674	23
272.306	9
426.669	13
442.475	16
243.145	10
558.657	20
287.268	10
683.609	24
1069.74	35
888.237	28
1016.1	32
614.182	25
1789.97	59
596.832	21
3126.98	102
484.011	18
406.252	14
434.979	16
656.809	26
200.617	8
383.434	13
427.484	13
509.078	20
112.216	5
426.67	14
679.954	24
222.275	9
319.014	12
421.015	14
372.146	13
388.726	14
345.967	13
1039.77	34
1091.48	38
397.808	17
202.65	8
1701.88	63
602.978	20
464.741	16
319.283	12
419.34	13
480.921	19
456.558	15
993.395	31
1535.75	49
344.349	13
286.808	10
911.446	31
312.555	11
384.37	14
386.605	13
344.664	12
1767.46	58
278.604	11
375.695	12
646.629	21
653.017	20
641.837	21
1055.42	34
531.123	17
228.724	9
895.073	32
641.848	21
943.641	30
535.104	18
1807.09	49
456.061	16
232.722	9
1114.36	35
4515.75	66
203.252	7
556.512	16
678.341	25
345.781	12
670.57	21
766.622	23
382.319	15
958.781	33
372.143	13
394.091	12
297.307	11
940.742	32
503.102	15
425.997	16
606.802	21
553.078	19
930.148	28
587.876	16
383.829	13
348.007	11
528.551	20
315.981	10
1479.15	45
740.583	26
4800.96	154
669.15	21
315.627	12
238.09	10
169.774	8
180.068	7
553.535	18
247.917	9
563.422	17
561.569	17
512.798	17
957.433	30
580.119	20
569.385	18
311.308	12
216.707	8
2918.48	99
626.516	19
691.309	23
684.038	21
532.232	19
498.465	16
591.563	20
128.505	4
370.199	13
488.63	19
1470.49	53
734.401	26
536.633	19
600.003	22
410.553	14
532.861	18
428.399	14
269.359	9
3899.73	126
251.264	9
1205.05	37
194.815	8
716.55	22
341.536	14
1864.75	63
652.628	22
528.503	19
447.208	18
503.685	20
595.247	23
315.709	12
134.401	6
295.517	10
2702.35	90
1065.17	32
305.05	10
668.875	22
773.812	26
5155.69	165
351.966	11
426.239	14
466.226	17
346.16	14
804.244	28
488.329	17
383.683	15
194.782	7
506.128	14
370.966	13
47.2973	2
227.848	9
363.545	12
342.373	11
303.967	10
369.214	14
310.047	12
676.004	24
316.001	12
168.594	5
253.233	9
688.64	27
