Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.0197889564045033,500,-1,0,4817.0,1,11,1239,1.822309212263399e-12,18724528.0,544,47549198.0,1e-14,618,1.029489283936587e-14
0.0002,0.0197889564045033,500,-1,0,2134.0,0,7,1136,7.035559650651507e-13,18724528.0,650,22712019.0,1e-14,-1,4.917386866769901e-15
0.0002,0.0197889564045033,500,-1,0,2684.0,0,9,1160,9.625731743963353e-13,18724528.0,606,26905825.0,1e-14,-1,5.825389213288753e-15
0.0002,0.0197889564045033,500,-1,0,3837.0,1,3,1292,1.4735618584918215e-12,18724528.0,666,41811823.0,1e-14,-1,9.052691849892678e-15
0.0002,0.0197889564045033,500,-1,0,4451.0,0,8,1274,1.6061580620666456e-12,18724528.0,679,53213570.0,1e-14,729,1.1521287924774127e-14
0.0002,0.0197889564045033,500,-1,0,3338.0,0,10,1130,1.1661393432546932e-12,18724528.0,589,43095231.0,1e-14,-1,9.330562947301825e-15
0.0002,0.0197889564045033,500,-1,0,3383.0,1,7,1246,1.2404369474773257e-12,18724528.0,647,46736843.0,1e-14,718,1.0119009585298724e-14
0.0002,0.0197889564045033,500,-1,0,1209.0,0,8,1005,3.7922845312602676e-13,18724528.0,-1,13363214.0,1e-14,-1,2.8932739542634085e-15
0.0002,0.0197889564045033,500,-1,0,608.0,0,7,886,1.648360690012753e-13,18724528.0,-1,3730525.0,1e-14,-1,8.076972215088751e-16
0.0002,0.0197889564045033,500,-1,0,3453.0,0,8,1176,1.2884414581095318e-12,18724528.0,619,42632836.0,1e-14,-1,9.230449650449614e-15
0.0002,0.0197889564045033,500,-1,0,5513.0,0,9,1271,2.0637995606576453e-12,18724528.0,593,65095115.0,1e-14,641,1.4093765225886629e-14
0.0002,0.0197889564045033,500,-1,0,6239.0,1,8,1220,2.3693087210097997e-12,18724528.0,561,66598658.0,1e-14,606,1.441929782612899e-14
0.0002,0.0197889564045033,500,-1,0,2181.0,0,9,1189,7.532549267244919e-13,18724528.0,678,25754640.0,1e-14,-1,5.576145762047255e-15
0.0002,0.0197889564045033,500,-1,0,6148.0,0,7,1288,2.41277993237936e-12,18724528.0,515,61526763.0,1e-14,603,1.3321180135111024e-14
0.0002,0.0197889564045033,500,-1,0,3677.0,1,11,1199,2.153991513200985e-12,18724528.0,603,59736376.0,1e-14,650,1.2933542844025823e-14
0.0002,0.0197889564045033,500,-1,0,4209.0,1,6,1339,2.1082403100754053e-12,18724528.0,599,42002658.0,1e-14,-1,9.094009599878709e-15
