Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,totalInducedCharge,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0004,0.04485688809402535,500,-1,0,3534.0,0,0,0,24,1078,8.952413486797437e-14,8.908496122621273e-14,18724528.0,-1,2879000.0,1e-14,-1,6.589523008675714e-16
0.0004,0.04485688809402535,500,-1,0,2796.0,0,0,0,14,1126,3.6222967323988195e-14,3.6101798337204624e-14,18724528.0,-1,1363351.0,1e-14,-1,3.120469879611338e-16
0.0004,0.04485688809402535,500,-1,0,3915.0,0,0,0,19,1181,6.965850896583538e-14,6.924558101948138e-14,18724528.0,-1,2080582.0,1e-14,-1,4.76208508525062e-16
0.0004,0.04485688809402535,500,-1,0,2008.0,0,0,0,19,1051,2.0621121924877856e-14,2.055551560125959e-14,18724528.0,-1,564045.0,1e-14,-1,1.2909994808713073e-16
0.0004,0.04485688809402535,500,-1,0,3450.0,0,0,0,13,1125,4.21201344831012e-14,4.1973401200260024e-14,18724528.0,-1,1587620.0,1e-14,-1,3.633782048987058e-16
0.0004,0.04485688809402535,500,-1,0,2406.0,0,0,0,15,1062,4.686648642413189e-14,4.670313741674244e-14,18724528.0,-1,1743412.0,1e-14,-1,3.9903624479337776e-16
0.0004,0.04485688809402535,500,-1,0,4037.0,0,0,0,18,1103,6.881523724649149e-14,6.845544391232768e-14,18724528.0,-1,2277883.0,1e-14,-1,5.213672261052887e-16
0.0004,0.04485688809402535,500,-1,0,4158.0,0,0,0,29,1135,6.630774635786507e-14,6.584940810968897e-14,18724528.0,-1,1568182.0,1e-14,-1,3.589291896766621e-16
0.0004,0.04485688809402535,500,-1,0,2309.0,0,0,0,15,1002,1.887993145057152e-14,1.8823663002753038e-14,18724528.0,-1,586486.0,1e-14,-1,1.3423629702209748e-16
0.0004,0.04485688809402535,500,-1,0,2951.0,0,0,0,22,1123,6.715484064142451e-14,6.688571986226754e-14,18724528.0,-1,2298740.0,1e-14,-1,5.261410253894828e-16
0.0004,0.04485688809402535,500,-1,0,2583.0,0,0,0,19,1126,5.266854701368243e-14,5.2445132638744353e-14,18724528.0,-1,1890260.0,1e-14,-1,4.326471609023743e-16
0.0004,0.04485688809402535,500,-1,0,2699.0,0,0,0,14,1113,2.5914160744802553e-14,2.5819567499722854e-14,18724528.0,-1,643027.0,1e-14,-1,1.4717753427230698e-16
0.0004,0.04485688809402535,500,-1,0,3747.0,0,0,0,21,1147,2.9818021455320836e-14,2.9701835582212714e-14,18724528.0,-1,556930.0,1e-14,-1,1.2747145012927287e-16
