Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,totalInducedCharge,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.018484056555360447,500,447,0,26773.0,0,0,0,12,755,1.7285163620143336e-12,1.447995592289653e-12,18724528.0,391,82975501.0,1e-14,422,1.7043768807595505e-14
0.0002,0.018484056555360447,500,445,0,17626.0,0,0,0,6,747,1.3200879215555146e-12,1.112504154064824e-12,18724528.0,385,65170997.0,1e-14,417,1.338659474714712e-14
0.0002,0.018484056555360447,500,484,0,13577.0,0,0,0,8,664,8.319462877326314e-13,6.985377482592115e-13,18724528.0,401,39901845.0,1e-14,-1,8.196127929092123e-15
0.0002,0.018484056555360447,500,435,0,15010.0,0,0,0,7,655,9.392454902582995e-13,7.85388403818377e-13,18724528.0,367,46090787.0,1e-14,-1,9.467381435734007e-15
0.0002,0.018484056555360447,500,444,0,12089.0,0,0,0,15,695,8.497437448031744e-13,7.165232694150935e-13,18724528.0,357,38612262.0,1e-14,-1,7.931238241831229e-15
0.0002,0.018484056555360447,500,494,0,11736.0,0,0,0,11,718,9.603227813020305e-13,8.135612299891884e-13,18724528.0,413,41458519.0,1e-14,-1,8.51588004200548e-15
0.0002,0.018484056555360447,500,491,0,12914.0,0,0,0,9,684,8.794072902586574e-13,7.435970295528049e-13,18724528.0,420,46511664.0,1e-14,-1,9.55383261949287e-15
0.0002,0.018484056555360447,500,434,0,15070.0,0,0,0,7,655,1.1045855946169286e-12,9.302690198406191e-13,18724528.0,371,55876730.0,1e-14,404,1.1477484996980448e-14
0.0002,0.018484056555360447,500,-1,0,8034.0,0,0,0,6,588,4.1766644218964473e-13,3.6013802742845485e-13,18724528.0,396,20306294.0,1e-14,-1,4.171059844219126e-15
0.0002,0.018484056555360447,500,-1,0,4301.0,0,0,0,6,570,2.253661507188594e-13,1.9700104200176303e-13,18724528.0,-1,13996088.0,1e-14,-1,2.8748978337926746e-15
0.0002,0.018484056555360447,500,-1,0,5361.0,0,0,0,11,558,2.6033318483534467e-13,2.2501058481384128e-13,18724528.0,-1,11790874.0,1e-14,-1,2.421930908202518e-15
