Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,nCluster,size,finalChargesTot,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.014960096399715723,500,-1,6,2935.0,1,4,1,1.3764833051795537e-12,18724528.0,326,721634437.0,1e-14,362,1.5624131448255172e-13
0.0002,0.014960096399715723,500,382,6,6677.0,1,12,1,3.2330430831830986e-12,18724528.0,288,1236306335.0,1e-14,309,2.6767310009001964e-13
0.0002,0.014960096399715723,500,-1,6,4265.0,1,6,1,2.0390094211973973e-12,18724528.0,281,695453221.0,1e-14,310,1.5057281060738038e-13
0.0002,0.014960096399715723,500,-1,6,4665.0,1,7,1,2.2380716582550926e-12,18724528.0,318,895390887.0,1e-14,355,1.9386138186830732e-13
0.0002,0.014960096399715723,500,390,6,7027.0,1,9,1,3.3889876221847553e-12,18724528.0,284,794379306.0,1e-14,312,1.7199133051791594e-13
0.0002,0.014960096399715723,500,-1,6,3686.0,1,6,1,1.7150591925920686e-12,18724528.0,308,721461068.0,1e-14,336,1.562037783020957e-13
0.0002,0.014960096399715723,500,-1,6,3237.0,0,5,1,1.5685056852764552e-12,18724528.0,320,456439612.0,1e-14,364,9.882389379483834e-14
0.0002,0.014960096399715723,500,-1,6,6008.0,1,13,1,2.8738641834754202e-12,18724528.0,266,621375072.0,1e-14,305,1.3453412567112607e-13
0.0002,0.014960096399715723,500,-1,6,3524.0,0,5,1,1.6777736224170204e-12,18724528.0,304,344813011.0,1e-14,328,7.465558089673962e-14
0.0002,0.014960096399715723,500,378,6,6695.0,1,12,1,3.200746110557379e-12,18724528.0,287,862786461.0,1e-14,308,1.868021866373166e-13
0.0002,0.014960096399715723,500,380,6,6584.0,1,9,1,3.1572755151597208e-12,18724528.0,285,676039806.0,1e-14,310,1.4636960560124888e-13
0.0002,0.014960096399715723,500,-1,6,4804.0,1,8,1,2.283394803558435e-12,18724528.0,290,876883560.0,1e-14,314,1.8985435427957499e-13
0.0002,0.014960096399715723,500,-1,6,6322.0,1,9,1,2.9775474068904093e-12,18724528.0,290,838147949.0,1e-14,315,1.8146769412365876e-13
0.0002,0.014960096399715723,500,401,6,7109.0,1,9,1,3.3922229285589546e-12,18724528.0,300,648023107.0,1e-14,323,1.403037006848764e-13
0.0002,0.014960096399715723,500,383,6,7368.0,1,8,1,3.5047830341832817e-12,18724528.0,294,1122688525.0,1e-14,318,2.4307366986212317e-13
0.0002,0.014960096399715723,500,-1,6,3713.0,1,13,1,1.7368367396848587e-12,18724528.0,287,670468650.0,1e-14,311,1.451633927433288e-13
0.0002,0.014960096399715723,500,-1,6,3607.0,0,7,1,1.7142878844792547e-12,18724528.0,307,449942822.0,1e-14,339,9.741727160849e-14
0.0002,0.014960096399715723,500,477,6,6895.0,1,6,1,3.2650680727099994e-12,18724528.0,329,1617345552.0,1e-14,375,3.5017202902276165e-13
0.0002,0.014960096399715723,500,-1,6,4553.0,1,7,1,2.1443195517760138e-12,18724528.0,321,619787701.0,1e-14,351,1.341904434424306e-13
0.0002,0.014960096399715723,500,-1,6,4599.0,1,10,1,2.177764502691069e-12,18724528.0,280,595074733.0,1e-14,303,1.288398304351896e-13
0.0002,0.014960096399715723,500,-1,6,4503.0,1,11,1,2.1277851653427506e-12,18724528.0,292,784369896.0,1e-14,321,1.6982418979484264e-13
0.0002,0.014960096399715723,500,-1,6,2534.0,0,6,1,1.2135150719302011e-12,18724528.0,367,416752842.0,1e-14,424,9.02312978841657e-14
0.0002,0.014960096399715723,500,-1,6,3323.0,0,4,1,1.5736511934956098e-12,18724528.0,333,382229177.0,1e-14,360,8.275656757226504e-14
0.0002,0.014960096399715723,500,-1,6,6215.0,0,3,1,2.954823041045026e-12,18724528.0,335,291368727.0,1e-14,438,6.308434100628676e-14
0.0002,0.014960096399715723,500,-1,6,6176.0,0,10,1,2.9650755535016764e-12,18724528.0,284,409737717.0,1e-14,329,8.871245081276477e-14
0.0002,0.014960096399715723,500,-1,6,4404.0,0,7,1,2.104140816767912e-12,18724528.0,315,440967766.0,1e-14,348,9.547407921758355e-14
0.0002,0.014960096399715723,500,-1,6,5398.0,1,10,1,2.5852810273901455e-12,18724528.0,287,702650843.0,1e-14,315,1.5213117016558507e-13
0.0002,0.014960096399715723,500,-1,6,4485.0,1,9,1,2.10912154806371e-12,18724528.0,301,777110789.0,1e-14,335,1.6825251809862408e-13
0.0002,0.014960096399715723,500,360,6,7530.0,1,9,1,3.585377731327074e-12,18724528.0,270,1001888011.0,1e-14,292,2.1691910997721585e-13
0.0002,0.014960096399715723,500,-1,6,4728.0,0,8,1,2.1926847090877905e-12,18724528.0,307,333672233.0,1e-14,331,7.22434873077548e-14
0.0002,0.014960096399715723,500,-1,6,6009.0,1,8,1,2.763832132644e-12,18724528.0,282,712394134.0,1e-14,306,1.5424069337453086e-13
0.0002,0.014960096399715723,500,-1,6,4385.0,1,9,1,1.916466685415448e-12,18724528.0,301,632787633.0,1e-14,339,1.3700506308878194e-13
0.0002,0.014960096399715723,500,-1,6,26.0,0,13,1,1.1199270153327707e-14,18724528.0,-1,14427483.0,1e-14,-1,4.032526660543728e-15
0.0002,0.014960096399715723,500,-1,6,4899.0,1,5,1,2.181221581252045e-12,18724528.0,315,512792765.0,1e-14,341,1.1102493389009682e-13
0.0002,0.014960096399715723,500,-1,6,4853.0,1,3,1,2.3880543073699965e-12,18724528.0,336,932880765.0,1e-14,367,2.0197832795372604e-13
0.0002,0.014960096399715723,500,416,6,6415.0,1,10,1,3.331704994336977e-12,18724528.0,298,966325839.0,1e-14,324,2.092195321657227e-13
0.0002,0.014960096399715723,500,416,6,6249.0,1,5,1,3.1951556010666156e-12,18724528.0,316,540628409.0,1e-14,340,1.1705163852757017e-13
